id;macrogroup_name;macrogroup_id;education_level;fgos_code;institution_name;program_name;region;budget_seat;URL
1;IT и цифровые технологии;1;ВО;09.03.01;Московский государственный технический университет имени Н. Э. Баумана;Информатика и вычислительная техника;Москва;Да;https://bmstu.ru/bachelor/majors/informatika-i-vycislitelnaa-tehnika-090301
2;IT и цифровые технологии;1;ВО;09.03.01;РХТУ им. Д. И. Менделеева;Информатика и вычислительная техника;Москва;Да;https://www.muctr.ru/abitur/bachelor/courses/090301/
3;IT и цифровые технологии;1;ВО;09.03.01.01;РГУ нефти и газа им. И. М. Губкина;Автоматизированные системы обработки информации и управления;Москва;Да;https://gubkin.ru/programms/bakalavriat/FAiVT/programma_09_03_01_1.pdf
4;IT и цифровые технологии;1;ВО;09.03.01.02        ;РГУ нефти и газа им. И. М. Губкина;Интегрированные автоматизированные информационные системы;Москва;Да;https://gubkin.ru/programms/bakalavriat/FAiVT/programma_09_03_01_2.pdf
5;IT и цифровые технологии;1;ВО;09.03.01;Московский технический университет связи и информатики;"Инженерия систем искусственного интеллекта
";Москва;65;https://abitur.mtuci.ru/bachelor/09.03.01/?EDU_TUMB=&BASE=&CAREER_SELECT=CODING
6;IT и цифровые технологии;1;ВО;09.03.01;Московский технический университет связи и информатики;"Организация и технологии защиты информации
";Москва;Да;https://abitur.mtuci.ru/bachelor/09.03.01.oz/?EDU_TUMB=&BASE=&CAREER_SELECT=CODING
7;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Автоматизированное управление бизнес-процессами и финансами
";Москва;Да;https://priem.mai.ru/base/programs/avtomatizirovannoe-upravlenie-biznes-protsessami-i-finansami/
8;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Системы автоматизированного проектирования
";Москва;Да;https://priem.mai.ru/base/programs/sistemy-avtomatizirovannogo-proektirovaniya/
9;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Системы интеллектуального мониторинга
";Москва;Да;https://priem.mai.ru/base/programs/sistemy-intellektualnogo-monitoringa/
10;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Программные системы цифровизации организаций
";Москва;Да;https://priem.mai.ru/base/programs/programmnye-sistemy-tsifrovizatsii-organizatsiy/
11;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Информатика и вычислительная техника
";Жуковский;Да;https://priem.mai.ru/base/programs/informatika-i-vychislitelnaya-tekhnika/
12;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Автоматизированные системы обработки информации и управления
";Ступино;Да;https://priem.mai.ru/base/programs/avtomatizirovannye-sistemy-obrabotki-informatsii-i-upravleniya/
13;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Автоматизированные системы обработки информации и управления
";Байконур;Да;https://priem.mai.ru/base/programs/avtomatizirovannye-sistemy-obrabotki-informatsii-i-upravleniya-voshod/
14;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Вычислительные машины, комплексы, системы и сети
";Байконур;Да;https://priem.mai.ru/base/programs/vychislitelnye-mashiny-kompleksy-sistemy-i-seti-voshod/
15;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Программное обеспечение средств вычислительной техники и автоматизированных систем
";Москва;Да;https://priem.mai.ru/base/programs/programmnoe-obespechenie-sredstv-vychislitelnoy-tekhniki-i-avtomatizirovannykh-sistem/
16;IT и цифровые технологии;1;ВО;09.03.01;Московский авиационный институт (национальный исследовательский университет);"Программирование и аппаратное обеспечение вычислительных комплексов
";Москва;Да;https://priem.mai.ru/base/programs/vychislitelnye-mashiny-kompleksy-sistemy-i-seti-304/
